method,display,seed,N,K,reward,success,C,rho,C_over_N,eta,runtime_s,n_episodes
ac_dsgf,AC-DSGF (K=4),42,16,4,17.217396123101935,0.2421875,22.23388671875,0.09264119466145833,1.389617919921875,0.7743763535766501,191.57475610000256,16
ac_dsgf,AC-DSGF (K=4),42,32,4,46.027714444790035,0.109375,55.52587890625,0.05597366825226814,1.7351837158203125,0.8289416638051478,573.0104566000082,16
ac_dsgf,AC-DSGF (K=4),42,64,4,123.43525258824229,0.0615234375,102.56591796875,0.02543797568669395,1.6025924682617188,1.2034724110386337,2007.745946199997,16
ac_dsgf,AC-DSGF (K=4),42,128,4,303.5837746337056,0.0302734375,225.453125,0.013868917630413386,1.7613525390625,1.3465494196796146,7705.543369400009,16
ac_dsgf,AC-DSGF (K=4),8888,16,4,16.69638647744432,0.2421875,26.14453125,0.108935546875,1.634033203125,0.6386186968811812,224.62806240000646,16
ac_dsgf,AC-DSGF (K=4),8888,32,4,42.64047619514167,0.126953125,62.3720703125,0.0628750708795363,1.949127197265625,0.6836469589914524,684.2954088999977,16
ac_dsgf,AC-DSGF (K=4),8888,64,4,120.33888830803335,0.0576171875,119.6923828125,0.029685610816592264,1.8701934814453125,1.0054013921382625,2049.6852653000096,16
ac_dsgf,AC-DSGF (K=4),8888,128,4,300.5191803909838,0.029296875,263.38037109375,0.016202040544645052,2.057659149169922,1.1410082655097114,7167.559911500008,16
dsgf,DSGF,1234,16,,14.873490520287305,0.1796875,25.578125,0.10657552083333334,1.5986328125,0.5814926043362172,186.7103744000051,16
dsgf,DSGF,1234,32,,39.41729356907308,0.099609375,65.609375,0.06613848286290322,2.05029296875,0.6007875180806567,569.959926800002,16
dsgf,DSGF,1234,64,,118.06942916288972,0.0478515625,129.880859375,0.03221251472594246,2.029388427734375,0.9090595006150398,2095.7173531000008,16
dsgf,DSGF,1234,128,,286.86029421165586,0.0224609375,300.6611328125,0.01849539448895792,2.3489151000976562,0.9540983615948434,8241.360396699994,16
dsgf,DSGF,2026,16,,15.586824319791049,0.15625,20.9638671875,0.08734944661458333,1.31024169921875,0.7435090186549603,216.2170402000047,16
dsgf,DSGF,2026,32,,38.24039880139753,0.064453125,49.9111328125,0.05031364194808468,1.559722900390625,0.7661697229965578,675.0094988000055,16
dsgf,DSGF,2026,64,,110.0971058756113,0.0341796875,99.236328125,0.024612184554811508,1.550567626953125,1.1094435672481842,2114.014542299992,16
dsgf,DSGF,2026,128,,265.3955951035023,0.015625,224.201171875,0.013791902797428642,1.7515716552734375,1.1837386615065046,7187.977045500011,16
dsgf,DSGF,3407,16,,15.988769399002194,0.17578125,21.861328125,0.0910888671875,1.3663330078125,0.7313722802009401,180.43492520001018,16
dsgf,DSGF,3407,32,,38.40911787701771,0.08984375,55.953125,0.05640435987903226,1.74853515625,0.6864517017953458,557.3440320000082,16
dsgf,DSGF,3407,64,,115.6709746811539,0.0322265625,114.9775390625,0.02851625472780258,1.7965240478515625,1.006031052884833,1924.7944070999947,16
dsgf,DSGF,3407,128,,276.3413268364966,0.0205078125,265.9189453125,0.016358202836644933,2.0774917602539062,1.0391938284492988,7920.922634300005,16
dsgf,DSGF,42,16,,16.462050244095735,0.22265625,22.4150390625,0.09339599609375,1.40093994140625,0.7344198775739134,174.5667914000078,16
dsgf,DSGF,42,32,,44.5694898320362,0.125,58.646484375,0.059119439894153226,1.83270263671875,0.7599686546775413,536.6720951000025,16
dsgf,DSGF,42,64,,123.11669206432998,0.056640625,106.5126953125,0.026416839115203372,1.6642608642578125,1.1558874902481355,1875.776866900007,16
