source,N,budget_type,K,ratio,seed,avg_degree,avg_k_cap,degree_std,degree_error_vs_K,degree_error_vs_cap,degree_p50,degree_p95
encoder,32,ratio,,0.4,3407,0.915703125,1.166015625,0.15100895613831775,,0.25031250000000005,1.0,2.0
encoder,64,fixed_k,1,,3407,0.7177734375,0.7177734375,0.05982272343972726,0.2822265625,0.0,1.0,1.0
encoder,64,fixed_k,2,,3407,1.0941796875,1.0941796875,0.11858720723676246,0.9058203125,0.0,1.0,2.0
encoder,64,fixed_k,4,,3407,1.25890625,1.25890625,0.18885907185898565,2.74109375,0.0,1.0,3.0
encoder,64,fixed_k,6,,3407,1.274609375,1.274609375,0.20561833611447297,4.725390625,0.0,1.0,3.0
encoder,64,fixed_k,8,,3407,1.27796875,1.27796875,0.20420141471948106,6.72203125,0.0,1.0,3.0
encoder,64,ratio,,0.05,3407,0.722109375,1.0,0.06110508806236494,,0.27789062499999995,1.0,1.0
encoder,64,ratio,,0.1,3407,0.72453125,1.0,0.061472213298469254,,0.27546875000000004,1.0,1.0
encoder,64,ratio,,0.2,3407,0.7222265625,1.0019921875,0.06101356180490608,,0.279765625,1.0,1.0
encoder,64,ratio,,0.4,3407,0.858359375,1.14078125,0.09809684981363763,,0.28242187500000004,1.0,2.0
encoder,8,fixed_k,1,,42,0.7240625,0.7240625,0.14166662837009286,0.27593749999999995,0.0,1.0,1.0
encoder,8,fixed_k,2,,42,0.9653125,0.9653125,0.2799412256952341,1.0346875,0.0,1.0,2.0
encoder,8,fixed_k,4,,42,1.3765625,1.3765625,0.6529661140470844,2.6234375,0.0,1.0,3.0
encoder,8,fixed_k,6,,42,1.16375,1.16375,0.4531814619994953,4.83625,0.0,1.0,3.0
encoder,8,fixed_k,8,,42,1.285625,1.285625,0.4494575723858705,6.714375,0.0,1.0,3.0
encoder,8,ratio,,0.05,42,0.7146875,1.0,0.14618554936706293,,0.28531249999999997,1.0,1.0
encoder,8,ratio,,0.1,42,0.808125,1.0,0.11031028680499386,,0.19187500000000002,1.0,1.0
encoder,8,ratio,,0.2,42,0.7140625,1.0,0.2607034878818272,,0.28593749999999996,1.0,1.0
encoder,8,ratio,,0.4,42,0.8184375,1.096875,0.3171588657025845,,0.2784375,1.0,2.0
encoder,16,fixed_k,1,,42,0.71453125,0.71453125,0.1332502894872559,0.28546875000000005,0.0,1.0,1.0
encoder,16,fixed_k,2,,42,1.18171875,1.18171875,0.2707696189077303,0.8182812500000001,0.0,1.0,2.0
encoder,16,fixed_k,4,,42,1.2671875,1.2671875,0.5844982323273099,2.7328125,0.0,1.0,4.0
encoder,16,fixed_k,6,,42,1.29,1.29,0.4164132562731403,4.71,0.0,1.0,3.0
encoder,16,fixed_k,8,,42,1.2275,1.2275,0.4513452115620592,6.7725,0.0,1.0,3.0
